timestamp,station,PM2.5,TSP,NO2,SO2,CO,O3,temperature,humidity
2024-01-02T03:00:00,Trạm A,25.74,40.74,18.00,6.00,0.70,20.00,27.04,73.28
2024-01-02T04:00:00,Trạm A,26.79,41.79,12.00,3.00,0.80,21.00,27.00,73.78
2024-01-02T05:00:00,Trạm A,27.67,42.67,13.00,4.00,0.90,22.00,27.01,74.21
2024-01-02T06:00:00,Trạm A,28.35,43.35,14.00,5.00,0.50,23.00,27.08,74.55
2024-01-02T07:00:00,Trạm A,28.80,43.80,15.00,6.00,0.60,24.00,27.20,74.80
2024-01-02T08:00:00,Trạm A,29.00,44.00,16.00,3.00,0.70,25.00,27.37,74.95
2024-01-02T09:00:00,Trạm A,28.95,43.95,17.00,,0.80,26.00,27.59,75.00
2024-01-02T10:00:00,Trạm A,28.67,43.67,18.00,5.00,0.90,27.00,27.84,74.95
2024-01-02T11:00:00,Trạm A,28.20,43.20,12.00,6.00,0.50,28.00,28.13,74.79
2024-01-01T00:00:00,Trạm B,27.00,42.00,12.00,,0.50,,29.00,70.00
2024-01-01T01:00:00,Trạm B,28.21,43.21,13.00,4.00,0.60,21.00,29.33,69.29
2024-01-01T02:00:00,Trạm B,29.36,44.36,14.00,5.00,0.70,22.00,29.65,68.59
2024-01-01T03:00:00,Trạm B,30.39,45.39,15.00,6.00,0.80,23.00,29.96,67.92
2024-01-01T04:00:00,Trạm B,31.25,46.25,16.00,3.00,0.90,24.00,30.24,67.30
2024-01-01T05:00:00,Trạm B,31.90,46.90,17.00,4.00,0.50,25.00,30.48,66.72
2024-01-01T06:00:00,Trạm B,32.31,47.31,18.00,5.00,0.60,26.00,30.68,66.22
2024-01-01T07:00:00,Trạm B,32.48,47.48,12.00,6.00,0.70,27.00,30.84,65.79
2024-01-01T08:00:00,Trạm B,32.40,47.40,13.00,3.00,0.80,28.00,30.94,65.45
2024-01-01T09:00:00,Trạm B,32.09,47.09,14.00,4.00,0.90,20.00,30.99,65.20
2024-01-01T10:00:00,Trạm B,31.59,46.59,15.00,5.00,0.50,21.00,30.99,65.05
2024-01-01T11:00:00,Trạm B,30.95,45.95,16.00,,0.60,22.00,30.93,65.00
2024-01-01T12:00:00,Trạm B,30.20,45.20,17.00,3.00,0.70,23.00,30.82,65.05
2024-01-01T13:00:00,Trạm B,29.43,44.43,18.00,4.00,0.80,,30.66,65.20
2024-01-01T14:00:00,Trạm B,28.68,43.68,12.00,5.00,0.90,25.00,30.45,65.45
2024-01-01T15:00:00,Trạm B,28.01,43.01,13.00,6.00,0.50,26.00,30.20,65.80
2024-01-01T16:00:00,Trạm B,27.49,42.49,14.00,3.00,0.60,27.00,29.91,66.22
2024-01-01T17:00:00,Trạm B,27.16,42.16,15.00,4.00,0.70,28.00,29.61,66.73
2024-01-01T18:00:00,Trạm B,27.05,42.05,16.00,5.00,0.80,20.00,29.28,67.30
2024-01-01T19:00:00,Trạm B,27.18,42.18,17.00,6.00,0.90,21.00,28.95,67.93
2024-01-01T20:00:00,Trạm B,27.56,42.56,18.00,3.00,0.50,22.00,28.62,68.60
2024-01-01T21:00:00,Trạm B,28.18,43.18,12.00,4.00,0.60,23.00,28.30,69.29
2024-01-01T22:00:00,Trạm B,29.02,44.02,13.00,,0.70,24.00,28.00,70.01
2024-01-01T23:00:00,Trạm B,30.03,45.03,14.00,6.00,0.80,25.00,27.72,70.72
2024-01-02T00:00:00,Trạm B,31.16,46.16,15.00,3.00,0.90,26.00,27.49,71.42
2024-01-02T01:00:00,Trạm B,32.37,47.37,16.00,4.00,0.50,27.00,27.29,72.08
2024-01-02T02:00:00,Trạm B,33.58,48.58,17.00,5.00,0.60,,27.14,72.71
2024-01-02T03:00:00,Trạm B,34.74,49.74,18.00,6.00,0.70,20.00,27.04,73.28
2024-01-02T04:00:00,Trạm B,35.79,50.79,12.00,3.00,0.80,21.00,27.00,73.78
2024-01-02T05:00:00,Trạm B,36.67,51.67,13.00,4.00,0.90,22.00,27.01,74.21
2024-01-02T06:00:00,Trạm B,37.35,52.35,14.00,5.00,0.50,23.00,27.08,74.55
2024-01-02T07:00:00,Trạm B,37.80,52.80,15.00,6.00,0.60,24.00,27.20,74.80
2024-01-02T08:00:00,Trạm B,38.00,53.00,16.00,3.00,0.70,25.00,27.37,74.95
2024-01-02T09:00:00,Trạm B,37.95,52.95,17.00,,0.80,26.00,27.59,75.00
2024-01-02T10:00:00,Trạm B,37.67,52.67,18.00,5.00,0.90,27.00,27.84,74.95
2024-01-02T11:00:00,Trạm B,37.20,52.20,12.00,6.00,0.50,28.00,28.13,74.79
